時間,操作者,角色,結果,工件,相機,信心度,備註
2026-07-09 10:54:05,Developer,開發者,NG,PART-105405,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:54:04,Developer,開發者,NG,PART-105404,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:54:04,Developer,開發者,NG,PART-105404,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:54:03,Developer,開發者,NG,PART-105403,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 12 object(s)；C5->螺絲: no object
2026-07-09 10:54:03,Developer,開發者,NG,PART-105403,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:54:02,Developer,開發者,NG,PART-105402,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: no object；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:54:02,Developer,開發者,NG,PART-105402,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:54:01,Developer,開發者,NG,PART-105401,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 6 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:54:01,Developer,開發者,NG,PART-105401,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:54:00,Developer,開發者,NG,PART-105400,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: 1 object(s)；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 12 object(s)；C5->螺絲: no object
2026-07-09 10:54:00,Developer,開發者,NG,PART-105400,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: no object；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 12 object(s)；C5->螺絲: no object
2026-07-09 10:53:59,Developer,開發者,NG,PART-105359,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:59,Developer,開發者,NG,PART-105359,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:58,Developer,開發者,NG,PART-105358,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:58,Developer,開發者,NG,PART-105358,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:57,Developer,開發者,NG,PART-105357,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:57,Developer,開發者,NG,PART-105357,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: no object；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:56,Developer,開發者,NG,PART-105356,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: 1 object(s)；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:56,Developer,開發者,NG,PART-105356,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:55,Developer,開發者,NG,PART-105355,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:55,Developer,開發者,NG,PART-105355,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:54,Developer,開發者,NG,PART-105354,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: no object；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:54,Developer,開發者,NG,PART-105354,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: no object；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:53,Developer,開發者,NG,PART-105353,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:53,Developer,開發者,NG,PART-105353,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: 1 object(s)；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:52,Developer,開發者,NG,PART-105352,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:52,Developer,開發者,NG,PART-105352,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:51,Developer,開發者,NG,PART-105351,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:51,Developer,開發者,NG,PART-105351,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:50,Developer,開發者,NG,PART-105350,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: 1 object(s)；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:50,Developer,開發者,NG,PART-105350,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:49,Developer,開發者,NG,PART-105349,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 12 object(s)；C5->螺絲: no object
2026-07-09 10:53:49,Developer,開發者,NG,PART-105349,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:48,Developer,開發者,NG,PART-105348,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: 1 object(s)；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:48,Developer,開發者,NG,PART-105348,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: no object；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 12 object(s)；C5->螺絲: no object
2026-07-09 10:53:47,Developer,開發者,NG,PART-105347,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:47,Developer,開發者,NG,PART-105347,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:46,Developer,開發者,NG,PART-105346,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:46,Developer,開發者,NG,PART-105346,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:45,Developer,開發者,NG,PART-105345,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:45,Developer,開發者,NG,PART-105345,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:44,Developer,開發者,NG,PART-105344,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:44,Developer,開發者,NG,PART-105344,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 12 object(s)；C5->螺絲: no object
2026-07-09 10:53:43,Developer,開發者,NG,PART-105343,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:43,Developer,開發者,NG,PART-105343,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 12 object(s)；C5->螺絲: no object
2026-07-09 10:53:42,Developer,開發者,NG,PART-105342,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: 1 object(s)；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:42,Developer,開發者,NG,PART-105342,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:41,Developer,開發者,NG,PART-105341,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:41,Developer,開發者,NG,PART-105341,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:40,Developer,開發者,NG,PART-105340,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: no object；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 12 object(s)；C5->螺絲: no object
2026-07-09 10:53:40,Developer,開發者,NG,PART-105340,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:39,Developer,開發者,NG,PART-105339,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: no object；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 9 object(s)；C5->螺絲: no object
2026-07-09 10:53:39,Developer,開發者,NG,PART-105339,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:38,Developer,開發者,NG,PART-105338,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: no object；C2->濾網: no object；C3->標籤: 1 object(s)；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:38,Developer,開發者,NG,PART-105338,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:53:37,Developer,開發者,NG,PART-105337,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:37,Developer,開發者,NG,PART-105337,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: 1 object(s)；C3->螺絲: 6 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:36,Developer,開發者,NG,PART-105336,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:36,Developer,開發者,NG,PART-105336,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:53:35,Developer,開發者,NG,PART-105335,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
